"GEOID","Violation.Count","Mean.Address.Violation.Count","Mean.Property.Violation.Ratio","Mean.Days.Open","Total Population: Total","PerCapitaViolationCount"
"29047020201",32,1.6,0.275,554.75,4958,0.00645421540943929
"29047020202",26,1.85714285714286,0.166666666666667,413.357142857143,3743,0.00694629975955116
"29047020300",20,1.53846153846154,0.192307692307692,346.384615384615,6138,0.00325839035516455
"29047020400",29,2.07142857142857,0.25,421.571428571429,2564,0.0113104524180967
"29047020500",90,2.09302325581395,0.162015503875969,536.302325581395,5288,0.0170196671709531
"29047020602",134,2.97777777777778,0.306031746031746,585.222222222222,4591,0.0291875408407754
"29047020603",219,2.88157894736842,0.182102510063036,612.263157894737,3699,0.0592051905920519
"29047020604",243,2.50515463917526,0.196833578792342,467.536082474227,4737,0.0512982900569981
"29047020901",122,2.65217391304348,0.299145962732919,507.130434782609,5279,0.0231104375828755
"29047020902",104,2.21276595744681,0.175531914893617,564.127659574468,2472,0.0420711974110032
"29047021204",41,2.41176470588235,0.441176470588235,561.882352941176,5000,0.0082
"29047021205",70,1.84210526315789,0.189473684210526,510.342105263158,6942,0.0100835494093921
"29047021206",82,1.70833333333333,0.146527777777778,447.441666666667,7118,0.0115200899128969
"29047021207",6,1.5,0.125,206.5,3127,0.00191877198592901
"29047021208",69,2.02941176470588,0.227450980392157,472.088235294118,6143,0.0112322969233274
"29047021303",10,3.33333333333333,0,360,3351,0.00298418382572366
"29047021305",27,2.25,0.125,465.083333333333,7480,0.0036096256684492
"29047021306",17,2.42857142857143,0.30952380952381,357.714285714286,7300,0.00232876712328767
"29047021307",22,2,0.2,394.454545454545,5897,0.00373071053077836
"29047021309",2,2,0,203,4477,0.000446727719454992
"29047021310",34,2.42857142857143,0.316836734693878,424.836428571429,7661,0.0044380629160684
"29047021803",69,1.64285714285714,0.126984126984127,361.809523809524,7645,0.00902550686723349
"29047021900",12,1.33333333333333,0,464,6121,0.00196046397647443
"29047022100",4,2,0,437,4402,0.000908677873693776
"29047022200",209,2.54878048780488,0.268089430894309,489.280487804878,3897,0.0536309982037465
"29095000300",58,3.86666666666667,0.278571428571429,466.6,1815,0.0319559228650138
"29095000600",1041,3.97328244274809,0.3870285990515,819.001908396947,4037,0.257864751052762
"29095000700",430,4.13461538461539,0.493986568986569,795.596153846154,3608,0.119179600886918
"29095000800",587,3.66875,0.411614583333333,726.45,3472,0.169066820276498
"29095000900",517,3.59027777777778,0.377795024858602,774.319444444444,2809,0.184051263794945
"29095001000",115,3.83333333333333,0.802962962962963,718.633333333333,2950,0.0389830508474576
"29095001800",299,3.08247422680412,0.497012094434775,563.896907216495,2334,0.128106255355613
"29095001900",341,4.2625,0.499741612554113,678.877625,2778,0.122750179985601
"29095002000",511,4.25833333333333,0.454285113035113,691.925,2425,0.210721649484536
"29095002100",655,3.39378238341969,0.49865095198073,815.844559585492,3611,0.181390196621435
"29095002200",501,2.86285714285714,0.477144506287363,876.371428571429,2645,0.189413988657845
"29095002300",305,2.32824427480916,0.35089058524173,958.312977099237,1685,0.181008902077151
"29095003400",1044,2.74015748031496,0.251744100169297,930.540682414698,2301,0.453715775749674
"29095003700",227,3.38805970149254,0.524632788438759,1247.91044776119,1048,0.216603053435115
"29095003800",184,3.68,0.575571428571429,1108.8,1821,0.101043382756727
"29095004300",34,3.4,0.379761904761905,1276,2263,0.0150243040212108
"29095004400",20,2.85714285714286,0.571428571428571,665.857142857143,1000,0.02
"29095004600",314,5.06451612903226,0.484020758214307,516.489193548387,2681,0.117120477433793
"29095005100",151,8.88235294117647,0.85670114199526,722.411764705882,1654,0.0912938331318017
"29095005200",108,3.27272727272727,0.486075036075036,1025.42424242424,1151,0.0938314509122502
"29095005300",267,3.92647058823529,0.507644724556489,947.397058823529,1093,0.244281793229643
"29095005400",179,2.75384615384615,0.590732600732601,1116.64615384615,733,0.244201909959072
"29095005500",343,3.94252873563218,0.522742200328407,770.237471264368,799,0.429286608260325
"29095005601",217,3.61666666666667,0.531071428571429,997.416666666667,1940,0.111855670103093
"29095005602",240,3.24324324324324,0.525014625014625,722.27027027027,1739,0.138010350776308
"29095005700",438,3.34351145038168,0.540224766751484,865.36641221374,2223,0.197031039136302
"29095005801",333,2.94690265486726,0.389384042702627,827.477876106195,1679,0.198332340678976
"29095006000",483,3.45,0.468775510204082,626.342857142857,1356,0.356194690265487
"29095006100",1124,3.93006993006993,0.456467997814152,898.881468531468,2427,0.463123197363
"29095006300",512,3.76470588235294,0.462521220609456,821.608602941177,1821,0.28116419549698
"29095006500",164,2.6031746031746,0.387717309145881,733.126984126984,1803,0.0909595119245702
"29095006600",118,3.80645161290323,0.6686866359447,758.322580645161,1589,0.0742605412208936
"29095006700",60,4.28571428571429,0.469047619047619,815.714285714286,1778,0.0337457817772778
"29095006900",13,6.5,0.5,459,1211,0.0107349298100743
"29095007100",72,5.53846153846154,0.588461538461538,634.846153846154,2813,0.0255954496978315
"29095007200",28,4,0.464285714285714,768.428571428571,2134,0.0131208997188379
"29095007400",43,5.375,0.678777472527473,787.875,3683,0.0116752647298398
"29095007500",221,3.453125,0.515104166666667,655.25,2849,0.0775710775710776
