GEOID,medianAge,population,noEducation,highschoolEducation,gedEducation,associatesEducation,bachelorsEducation,masterEducation,professionalEducation,doctorateEducation,medianHHIncome,rentAsPercIncome
290950052001,51.4,769,6,165,36,25,29,0,0,0,10625,33.5
290950052002,37.7,382,14,55,53,0,17,5,0,0,20230,49.1
290950007001,42.5,903,23,207,35,41,11,45,15,0,30781,46.7
290950053001,31.4,563,22,59,42,0,50,0,0,0,28250,50
290950053002,32.9,530,0,98,23,0,43,120,0,0,35571,50
290950054001,36.7,733,0,116,12,35,24,3,0,0,12530,50
290950055001,34.6,799,11,180,14,19,10,10,0,0,18846,40
290950056011,45.7,703,4,170,36,13,46,5,0,0,11633,37.5
290950056012,20.4,1237,0,162,24,45,32,28,0,0,28897,47.9
290950056021,35.4,969,0,262,18,25,14,33,10,0,20766,45.2
290950056022,30,770,15,169,46,14,6,20,0,0,25076,39.7
290950057001,33.8,850,0,259,14,28,17,13,0,23,35580,36
290950057002,30.8,644,0,151,25,91,7,11,0,0,19145,50
290950007002,32.5,648,34,127,12,26,16,0,8,11,25139,50
290950057003,52.3,406,0,130,0,27,10,7,5,0,27667,50
290950057004,33.8,323,0,47,5,14,0,8,0,0,28679,50
290950058011,40.5,443,16,84,34,26,4,65,0,0,31250,36.8
290950058012,45.2,582,15,106,30,18,49,6,0,0,14938,50
290950058013,33.2,654,0,100,27,44,0,12,0,0,27381,24.8
290950060001,45.7,425,0,112,11,7,54,11,0,0,27955,50
290950060002,46.2,931,13,211,33,34,38,26,0,0,32037,31.7
290950061001,56.2,769,11,186,17,13,23,15,0,7,25417,50
290950061002,40.2,521,0,104,31,0,48,7,7,0,31136,33.8
290950061003,29.4,1137,10,351,35,58,16,0,0,9,25083,40.7
290950007003,28.6,838,21,128,29,17,77,0,0,0,16207,50
290950063001,22,687,0,66,2,25,6,0,0,1,29583,45
290950063002,44.2,1134,17,238,22,79,12,4,11,0,16250,35.8
290950065001,32.9,843,0,57,20,18,205,65,24,21,46711,31.4
290950065002,32.3,960,0,93,38,100,151,110,10,4,43008,29.7
290950066001,31.1,714,0,15,0,0,163,118,104,24,49167,23.2
290950066002,33.3,875,6,51,20,73,220,95,16,31,41711,24.4
290950067001,29.7,808,0,20,15,6,208,54,11,7,26319,28.3
290950067002,25.9,970,0,83,17,24,107,66,33,11,32000,29.8
290950069001,42.7,556,0,0,13,23,145,128,77,82,66964,26
290950069002,31.5,655,0,54,5,26,178,31,39,9,45568,24.4
290950007004,31.1,1219,72,196,15,57,58,8,0,0,36250,50
290950071001,32.3,1216,0,185,68,33,299,51,40,59,38281,28.4
290950071002,33.9,664,0,114,0,22,252,54,34,14,44531,29.3
290950071003,30.3,933,0,10,10,16,301,148,47,90,62961,24.3
290950072001,44.8,769,0,14,0,10,162,165,113,43,250001,
290950072002,30.5,1365,0,68,0,26,429,112,103,55,61852,21.9
290950073001,29.3,879,0,84,0,0,408,145,76,0,40583,21.9
290950073002,28.3,1497,0,139,0,0,285,217,63,50,51985,24.8
290950073003,34.4,922,0,17,13,41,390,116,112,0,53750,30.3
290950074001,21,1268,0,30,1,14,77,90,78,109,73750,50
290950074002,24.7,713,0,9,7,11,139,35,43,19,47875,37.7
