GEOID,medianAge,population,noEducation,highschoolEducation,gedEducation,associatesEducation,bachelorsEducation,masterEducation,professionalEducation,doctorateEducation,medianHHIncome,rentAsPercIncome
290950128031,50.4,777,0,235,38,94,33,59,47,0,80625,13.6
290950128032,38.9,1015,0,257,33,30,126,48,11,11,50476,26.2
290950019003,28.8,418,0,29,9,35,37,0,0,0,23875,50
290950128041,30.9,1050,30,210,0,108,68,20,0,0,15585,50
290950128042,38.6,2103,6,296,91,126,154,119,0,23,56563,43
290950128043,22.7,965,0,191,28,19,19,0,0,0,40588,
290950128044,36.5,2096,23,348,170,167,131,35,0,15,60357,30.7
290950129031,35.9,1147,0,267,51,34,31,68,0,0,41389,28.8
290950129032,50.8,640,0,257,41,10,72,10,0,0,32235,50
290950129033,30.9,1359,0,270,28,16,103,28,0,8,36369,40.9
290950129034,38.9,637,9,247,0,11,72,13,0,0,62305,34.3
290950129041,38.5,875,7,157,19,62,61,34,9,0,66494,22.5
290950129042,47.5,797,0,154,16,51,95,66,0,0,57353,24.3
290950006002,30.4,1174,0,187,32,14,8,27,9,0,25694,50
290950019004,30.5,1001,73,160,73,9,8,0,0,0,33333,32.7
290950129043,41.6,919,0,167,13,121,152,23,0,0,65455,22.9
290950129061,43.2,756,0,204,19,43,53,17,0,0,43194,49.1
290950129062,35.4,774,0,109,0,63,101,0,0,0,57386,50
290950129063,48.4,725,0,220,8,74,18,23,0,8,54375,
290950129064,31.5,766,0,106,40,0,58,28,0,0,36725,50
290950129065,31.1,1546,0,349,74,108,62,26,0,0,40197,50
290950130031,28.7,1138,0,302,46,48,108,20,0,0,51177,28.5
290950130032,30.5,1686,46,456,46,61,122,15,0,0,50568,50
290950130033,31.9,1932,0,288,39,97,150,0,0,0,35568,24.5
290950130034,30.1,935,0,224,0,23,31,25,0,0,33100,36.2
290950020001,30.9,1330,17,254,86,0,5,0,0,0,30511,29.8
290950131001,30.4,1289,0,217,27,71,72,88,0,0,39856,30.3
290950131002,42.8,900,4,140,22,66,85,74,11,0,36336,50
290950131003,46.9,869,0,224,10,73,44,33,0,11,32500,49
290950132031,33.6,1355,9,330,63,73,34,40,0,0,36935,24.6
290950132032,27.6,853,17,110,24,52,31,11,0,0,29044,36.2
290950132033,30,606,0,33,28,33,31,13,0,0,22371,50
290950132034,19.3,1395,19,203,18,59,49,0,0,0,26768,22.8
290950132081,26.9,1606,0,220,42,75,8,29,22,0,41563,50
290950132082,46.4,1271,31,143,27,68,82,21,0,12,17107,48.9
290950132101,37.4,1023,0,157,36,122,47,17,0,0,42545,43.1
290950020002,25.5,1095,7,155,34,6,5,0,3,0,16922,50
290950132102,30.9,601,0,121,27,17,29,24,0,0,50804,37.2
290950132103,32.8,907,6,195,0,0,56,51,0,0,68942,16.4
290950133011,33.1,1708,19,307,97,79,267,28,6,0,47292,18.2
